,tipo,centro,direccion,n_distrito,n_barrio,aceite,objectid,estado,codigo,created_user,created_date,last_edited_user,last_edited_date,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
280,06-ECOPARC,ECOPARC FIX VARA DE QUART,"CAMI ALQUERIA DE LA MORERA, S/N",8,083,1,34,Instalado,EC00,,,U60391,2023-05-12T13:08:48+02:00,Feature,"[-0.4089430249887012, 39.454964765211656]",Point,-0.4089430249887012,39.454964765211656
281,07-ALCALDIA DE BARRI,PEDANIA POBLE NOU,"CAMI MONCADA, 205",17,172,1,36,Instalado,AB07,,,U60391,2023-05-12T13:09:38+02:00,Feature,"[-0.3840349331139049, 39.5042458569491]",Point,-0.3840349331139049,39.5042458569491
282,07-ALCALDIA DE BARRI,ALCALDIA PINEDO,"CTRA RIU, 263",19,193,1,37,Instalado,AB02,,,U60391,2023-05-12T13:11:01+02:00,Feature,"[-0.34080648073880926, 39.424360439881625]",Point,-0.34080648073880926,39.424360439881625
283,02-CM_PERSONES MAJORS,"CM CENTRE DIA MUNICIPAL PER A PERSONES MAJORS DEPENDENTS ""LA PURISIMA""","C/ ASSAGADOR D'ALBORAIA, 20",15,153,1,44,Instalado,MA31,,,U60391,2023-05-12T09:21:53+02:00,Feature,"[-0.362819473160609, 39.489434578663975]",Point,-0.362819473160609,39.489434578663975
284,05-CENTRES JUVENILS,POLIESPORTIU ASTÚRIES,"C/ ASTÚRIES, Jt 22",12,125,1,45,Instalado,JU03,,,U60391,2023-05-12T09:22:14+02:00,Feature,"[-0.35588278765334913, 39.465032542190976]",Point,-0.35588278765334913,39.465032542190976
285,04-CENTRE EDUCATIU,CEIP JOSÉ SOTO MICO,"C/ BEETHOVEN, S/N",9,092,1,46,Instalado,ED17,,,U60391,2023-05-12T09:23:53+02:00,Feature,"[-0.3900151196451928, 39.450218209783365]",Point,-0.3900151196451928,39.450218209783365
286,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""LA TORRE""","C/ BENIDOLEIG, 9",19,197,1,48,Instalado,MA17,,,U60391,2023-05-12T09:24:33+02:00,Feature,"[-0.39317166711140966, 39.43450705844619]",Point,-0.39317166711140966,39.43450705844619
287,VIA PUBLICA,,"AV PÉREZ GALDÓS, 47",08,081,1,49,Instalado,14-2,,,U60391,2023-06-12T09:18:59+02:00,Feature,"[-0.38975855021192574, 39.46628908826019]",Point,-0.38975855021192574,39.46628908826019
288,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""NOU MOLES""","C/ BURGOS, S/N",7,071,1,51,Instalado,MA03,,,U60391,2023-05-12T09:25:07+02:00,Feature,"[-0.39906318290102577, 39.4701102123832]",Point,-0.39906318290102577,39.4701102123832
290,04-CENTRE EDUCATIU,IES BENLLIURE,"C/ CONVENT DELS CARMELITES, 13",5,053,1,55,Instalado,ED20,,,U60391,2023-05-12T09:26:24+02:00,Feature,"[-0.369807525966548, 39.483140385560844]",Point,-0.369807525966548,39.483140385560844
291,01-MERCAT,MERCAT JERUSALEM,C/ MATEMÀTIC MARZAL,3,032,1,58,Instalado,ME04,,,U60391,2023-05-12T11:53:56+02:00,Feature,"[-0.3805401855029309, 39.46663738728998]",Point,-0.3805401855029309,39.46663738728998
292,01-MERCAT,MERCAT DE CASTILLA,"C/ JOSEP MAESTRE, 13",7,073,1,59,Instalado,ME05,,,U60391,2023-05-12T11:54:27+02:00,Feature,"[-0.4033580601893508, 39.46543877009847]",Point,-0.4033580601893508,39.46543877009847
293,05-CENTRES JUVENILS,POLIESPORTIU BENIMACLET,"C/ DANIEL BALACIART, 8",14,141,1,60,Instalado,JU06,,,U60391,2023-05-12T12:02:40+02:00,Feature,"[-0.35478855122738806, 39.48093886474272]",Point,-0.35478855122738806,39.48093886474272
295,02-CM_PERSONES MAJORS,"CM ACTIVITAS PERSONES MAJORS ""BENIMACLET""","C/ EMILI BARÓ, 87",15,153,1,64,Instalado,MA30,,,U60391,2023-05-12T12:03:38+02:00,Feature,"[-0.3585832345887398, 39.49265106969566]",Point,-0.3585832345887398,39.49265106969566
296,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""PATRAIX""","C/ SALABERT, 13ac",8,081,1,69,Instalado,MA07,,,U60391,2023-05-12T12:09:57+02:00,Feature,"[-0.3942959387452805, 39.46285526673407]",Point,-0.3942959387452805,39.46285526673407
297,09-UNIVERSITAT POPULAR,UP SANT ISIDRE,"C/ JOSÉ ANDREU ALABARTA, 25",8,082,1,73,Instalado,UP04,,,U60391,2023-05-12T12:11:55+02:00,Feature,"[-0.40420449524049834, 39.45333684899232]",Point,-0.40420449524049834,39.45333684899232
298,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""SANT ISIDRE""","C/ JOSÉ ANDREU ALABARTA, S/N",8,082,1,74,Instalado,MA09,,,U60391,2023-05-12T12:25:33+02:00,Feature,"[-0.4050607958320004, 39.453139532673354]",Point,-0.4050607958320004,39.453139532673354
299,02-CM_PERSONES MAJORS,"CM ACTIVITAS PERSONES MAJORS ""BENICALAPECH""","C/ LOUIS BRAILLE, S/N",16,162,1,78,Instalado,MA32,,,U60391,2023-05-12T12:54:54+02:00,Feature,"[-0.3955846239188685, 39.4962114618414]",Point,-0.3955846239188685,39.4962114618414
300,04-CENTRE EDUCATIU,CEIP LA FONTETA,"C/ MOSSÉN PALANCA, 27",10,104,1,81,Instalado,ED40,,,U60391,2023-05-12T12:57:14+02:00,Feature,"[-0.3655213161320903, 39.44452202639347]",Point,-0.3655213161320903,39.44452202639347
